Price,Close,High,Low,Open,Volume,EMA_20,EMA_30
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,
2024-12-27,193.1514434814453,195.89881458378935,191.09292009158196,195.57032390029536,14693000,187.87399038566645,184.44512649116731
2024-12-30,191.80764770507812,192.89265279578865,189.48831528149262,189.99100767562084,12209500,188.2486244160866,184.92012785980674
2024-12-31,189.56793212890625,192.3650620367038,188.71186966700776,191.56375561488875,14355200,188.37427276968847,185.21998619974866
2025-01-02,189.75706481933594,192.31528828077222,187.84585877797048,190.60814531839284,17545200,188.50596725060728,185.51270094939946
2025-01-03,192.24562072753906,193.6093423401244,190.47377294848562,191.84247652544025,12875000,188.8621247246008,185.94708287056977
2025-01-06,197.0535125732422,198.64617677482565,194.16678307657583,194.2563673052009,19483300,189.64225690066186,186.6636267223551
2025-01-07,195.80923461914062,201.21436233782782,195.04275634097473,197.3620886556935,16966800,190.22958811194556,187.25366594150256
2025-01-08,194.49526977539062,196.7349665785107,192.86278026867308,193.0618613911672,14335300,190.63584350846412,187.7208661888502
2025-01-10,192.28543090820312,196.7150503565844,190.72262817648917,194.52512767087055,20753800,190.792947070344,188.0153542352601
2025-01-13,191.40943908691406,191.60853537738726,187.7960722863248,190.4737563906964,13169100,190.85166059573163,188.23432745149586
2025-01-14,190.17514038085938,192.3849756964784,188.7715934554687,191.618497453767,13651200,190.78723009907714,188.35954118887418
2025-01-15,196.07798767089844,196.8942400289836,192.44470777569708,193.4600412587808,12894900,191.29111177258395,188.85750547803707
2025-01-16,193.51976013183594,196.07798367318762,193.41026323698176,194.9282738716767,13449600,191.50336399727462,189.1582961008628
2025-01-17,196.6453857421875,197.89961050554967,194.4156376406273,197.14309615146212,22109100,191.99308035393298,189.6413341422386
2025-01-21,198.71585083007812,202.90656371652176,198.526718455784,199.59181076887646,19005200,192.63334420880395,190.22678683177665
2025-01-22,199.114013671875,201.19443941769566,198.28781261730893,199.63163672065812,15477400,193.2505508243345,190.8001563053314
2025-01-23,198.6660614013672,201.01525481684905,195.91870578892133,199.0642235983312,15170800,193.76631373643283,191.30763405346275
2025-01-24,200.9754638671875,201.64240920402193,198.86915601840184,198.93486327249306,12732400,194.45289946317138,191.93136500918695
2025-01-27,192.8826904296875,197.7602462174967,191.81758289537285,193.30076533816407,24970200,194.30335574569673,191.99274084276763
2025-01-28,196.16758728027344,196.32684306707887,191.7280037627585,193.7586555420029,15939200,194.4809016061326,192.26208577421963
2025-01-29,196.27706909179688,197.55122170932418,194.29619139003805,196.4662014769513,12287800,194.65196517619586,192.5211169559988
2025-01-30,201.7021026611328,202.30732015197103,198.55855933040075,198.8452349044127,14571500,195.32340684142795,193.11343861439454
2025-01-31,204.65850830078125,206.1317267292728,202.64775417193695,202.78213050256764,17060300,196.2124641232711,193.85828181996789
2025-02-03,201.71206665039062,204.28025409053734,200.73655853695863,201.2890097802712,16719500,196.73623579252057,194.36497761547903
2025-02-04,206.75885009765625,207.74430691654345,203.32463636845785,203.56354281581105,28285400,197.69077048824778,195.16458229174856
2025-02-05,192.4148406982422,193.6591166789746,189.04036484605254,192.21575957910818,43666400,197.18830098443772,194.98717960829654
2025-02-06,192.42477416992188,192.9423971897316,189.6176956783565,190.1154060311581,20816600,196.73463176400764,194.8218631284014
2025-02-07,186.2830352783203,192.13113208194073,184.25238366707939,191.85739745606065,29565700,195.73924162251362,194.27097100904132
2025-02-10,187.33819580078125,189.12000757926853,186.75090116070803,188.19425831588927,16606000,194.93914202044388,193.82369518915357
2025-02-11,186.21337890625,187.93545266102404,185.22790683269457,185.979454407478,13028100,194.10811696194924,193.33270704186947
2025-02-12,184.5808868408203,185.97448518883658,182.7891414045265,184.38180570222292,17632300,193.2007617123179,192.76807348051148
2025-02-13,187.0196533203125,187.12915020916878,184.03339110304842,185.07857072795878,12729300,192.6120847226031,192.39720766372446
2025-02-14,186.01426696777344,187.28840428715017,185.25775268092943,185.97445682169322,12714200,191.98372112690504,191.98540503817924
2025-02-18,184.94918823242188,186.92011716943594,182.7393528346816,186.58167774176087,19796000,191.31376561314474,191.53145556684007
2025-02-19,186.2730712890625,186.50201378590523,184.6505307674193,185.33239148315366,13120500,190.83369948704168,191.19220496827378
2025-02-20,185.78533935546875,186.26313709133268,183.75468758635992,185.64598104963693,12063800,190.35290328403474,190.84337492873797
2025-02-21,180.7484893798828,186.6115165931875,180.30055311046914,186.43233297207348,19520800,189.43819719792504,190.19209199010217
2025-02-24,180.3602752685547,184.24240984131112,180.05169728827332,182.95832384844988,18734000,188.57363320465168,189.5577812338733
2025-02-25,176.55776977539062,179.93224543786565,175.96052645156584,179.33002014994497,20832500,187.4292652590078,188.719070817197
2025-02-26,173.89999389648438,177.26452073540196,172.79507630783428,176.1347237047255,23637200,186.14076322448176,187.76300133844137
2025-02-27,169.43057250976562,175.78134656514663,168.97466202962403,175.13432915333055,25930500,184.5493164897469,186.58026399465584
2025-02-28,171.4313507080078,171.7100672832675,167.61888768130962,169.52014482526374,30049800,183.29998641529554,185.60291475035598
2025-03-03,167.88766479492188,174.19862860889896,166.8723313924195,172.93444002266958,24122000,181.8321462609742,184.4599953983925
2025-03-04,171.819580078125,174.36287286013714,166.77278947294587,167.1709668951315,30711400,180.87856852927428,183.6444847325688
2025-03-05,174.18869018554688,174.94520452087065,170.14726900378645,171.53091848861095,18848000,180.24143725844309,183.0344334714706
2025-03-06,173.41226196289062,175.92071140977126,171.71804472611552,171.75985981135477,19082400,179.5910396112476,182.41364821285256
2025-03-07,174.94520568847656,176.0899335334891,171.46123288671458,172.4486946952218,16395300,179.14857923765035,181.93181321127992
2025-03-10,167.2318572998047,169.862761343809,164.99459665658725,169.5737671447147,28990700,178.01365333880793,180.98342895892668
2025-03-11,165.4081573486328,168.07394441383764,162.67760699625669,166.10574265010774,23705900,176.81312991117218,179.97857272600453
2025-03-12,168.41775512695312,168.94592793540997,164.9098780997037,167.88958231849628,19880100,176.01357040791322,179.23271352606574
2025-03-13,164.1624755859375,167.54079590690662,163.50476094405604,167.40127883666267,15206200,174.8848947105822,178.2604401105736
2025-03-14,167.0425262451172,167.6703606934966,163.94323992063195,164.74547451647462,18611100,174.138002475776,177.53670373215706
2025-03-17,165.9961395263672,167.87962748094336,165.23874815007622,166.74852805647282,17839100,173.36258695678467,176.79215120275128
2025-03-18,162.10955810546875,165.86657374168732,158.25289611875118,165.3882317231237,24616800,172.290869923326,175.84488713195887
2025-03-19,165.70712280273438,167.55373559369966,162.48825521429978,163.3502653420542,24955700,171.66384638803154,175.190837820396
2025-03-20,164.4813690185547,166.45454321967475,162.57794574460488,163.26058333399368,19981500,170.97980092427184,174.49990434930947
